Operator,Year,Aboard,Fatalities
US Airways,2009,155,0
Turkish Airlines,2009,134,9
Strait Air,2009,1,1
Service Air,2009,4,4
Petroleum Helicopters Inc,2009,9,8
Mimika Air,2009,11,11
Flight Service,2009,13,13
FedEx,2009,2,2
Eagle Cap Leasing,2009,14,14
Cougar Helicopters,2009,18,17
Continental Connection/Colgan Air,2009,49,49
Bond Offshore Helicopters,2009,16,16
Bako Air,2009,7,7
Aviastar Mandiri,2009,6,6
Air One Executive,2009,2,2
Air France,2009,228,228
Aerotuy airline,2009,11,1
Aerotaxi Manaus,2009,28,24
Aerolift,2009,16,16
Yeti Airlines,2008,19,18
XL Airways leased from Air New Zealand,2008,7,7
Wiggins Airways,2008,1,1
Webstas Aviation Services Inc.,2008,3,3
USA Jet Airlines,2008,2,1
United Nations Mission,2008,10,10
Transaven,2008,18,18
Trade Wings Aviation Ltd.,2008,3,3
TACA International Airlines,2008,136,3
Sudan Airways,2008,214,32
Spanair,2008,172,154
Southern Sudan Air Connection,2008,24,24
Servant Air,2008,10,6
Santa Barbara Airlines,2008,46,46
Rotorcraft Leasing Co,2008,3,3
PHI Air Medical,2008,4,4
Patagonia Airlines,2008,10,10
PacifiCoastal Airlines,2008,8,7
PacifiCoast Airlines,2008,7,5
Naftogaz,2008,20,20
Moskovia Airlines,2008,9,9
Mexican Government,2008,8,8
Maryland State Police,2008,5,4
Kata Transportation,2008,8,8
Junction City Fire Department,2008,13,9
Juba Air Cargo,2008,8,7
Itek Air,2008,90,68
Island Express Helicopter Service,2008,6,4
Hewa Bora Airways,2008,85,0
Global Executive Aviation,2008,6,4
Gira Globo Charter,2008,13,13
Fly 540,2008,3,3
Falcon Aviation Group,2008,7,7
East Coast Jets,2008,8,8
East African Air Charters,2008,5,4
Dirgantara Air Service,2008,3,3
Conviasa,2008,3,3
Chelan Air Service,2008,5,2
Centurian Air Cargo,2008,8,0
British Airways,2008,152,0
Blue Wing Airlines,2008,19,19
BHS - Brazilian Helicopter Service Air Taxi,2008,20,5
Avtex Air Services,2008,1,1
Apline Aviation,2008,1,1
Alpine Aviation,2008,1,1
Alantis Aviation,2008,12,12
Air Tahoma,2008,3,3
Air Serv Internatiional/CemAir,2008,17,17
Air Methods / ClassiHelicopters,2008,7,6
Air Angles Inc.,2008,4,4
Aerogulf,2008,7,7
Aeroflot,2008,88,88
Aerocord,2008,9,9
AŽreo Ruta Maya,2008,14,11
Ababeel Aviaition,2008,4,4
UTAir Airlines,2007,57,6
University of Michigan Health System,2007,6,6
Two Taxi Aero,2007,2,2
Transaviaexport Airlines,2007,11,11
Taquan Air Service,2007,5,5
TAM (Brazil),2007,187,187
TAAG Angola Airlines,2007,78,5
SunQuest Executive Air Charter,2007,2,2
Southwest Medivac,2007,5,5
SeaWind Aviation,2007,10,6
SceniAir Tours,2007,3,3
Safe Air Complany,2007,3,3
Regional Compagnie Aerienne Europeenne,2007,54,0
Reali Taxi Aereo,2007,2,2
PMT Air,2007,22,22
Paramount Airlilnes,2007,22,21
One-Two-Go Airlines,2007,130,90
Nyika Safaris,2007,6,6
Nacional de Aviacion,2007,18,18
Mongolian Defense Ministry,2007,22,15
Moldovan Aeriantur-M Air Cargo,2007,35,34
Metro Aviation,2007,3,3
Liard Air,2007,5,1
Kenya Airways,2007,114,114
Karibu Airways,2007,31,2
Kapowsin Air Sports,2007,10,10
Juba Air Cargo,2007,4,0
Jett Paqueteria SA,2007,3,3
Inter-Island,2007,5,1
Heli-USA Airways,2007,7,4
Great Lakes Business Complany,2007,15,14
Garuda Indonesia Airlines,2007,140,22
Galaxy Kavatsi Airlines,2007,8,8
Fun Air,2007,5,5
"Evergreen Alaska Helicopters, Inc.",2007,4,4
Djibouti Airlines,2007,9,1
DJB Air Charter,2007,10,1
Charter - Private,2007,9,2
Castle Aviation,2007,2,2
Atran,2007,9,9
Atlasjet Airlines,2007,57,57
Ameristar Jet Charter,2007,2,2
Air Turks & Caicos,2007,6,1
Air Services,2007,5,3
Air Moorea,2007,20,20
Africa One Congo,2007,22,21
Adam Air,2007,102,102
,2007,4,4
Yug Avia,2006,5,4
Yeti Airlines,2006,9,9
U.S. Government (leased),2006,16,2
Trigana Air Service,2006,12,12
TriCoastal Air,2006,1,1
Tracep,2006,17,17
Team Air,2006,19,19
SoniBlue Airways,2006,8,3
Sibir (S7),2006,203,128
Service Air,2006,6,6
Saskatchewan Government Northern Air Operations,2006,3,1
Pulkovo Airlines,2006,170,170
PenAir,2006,2,2
Pakistan International Airlines,2006,45,45
Naturelink,2006,3,1
Mango Airlines,2006,5,5
King Air Charter,2006,3,3
Iran Air Tours,2006,148,29
International Jet Charter,2006,5,2
Himmelsschreiber,2006,6,5
Gol Airlines / Private,2006,161,154
Evolga,2006,3,3
Comair,2006,50,49
AtlantiAirways,2006,16,4
ATESA,2006,14,5
Armavia,2006,113,113
Ameriflight,2006,2,2
AirNow,2006,1,1
